id,name,class
02d8ac3e-e531-494e-9d90-05db43127b4e,F0001-D,0
0886c413-afbb-415f-bd1a-92ab8991721b,F0001-D,0
159fd5df-b507-4c8b-8aa4-328d34f1e029,F0001-D,0
1f1b630e-548f-4854-9804-9c6cdef9f087,F0001-D,0
20d961a4-6b33-4074-809c-6b196217ac33,F0001-D,0
20db2f82-077d-4035-b411-bf0ebd215187,F0001-D,0
2837642e-9047-4233-a240-b83e664f94af,F0001-D,0
2e15f5ca-7e61-4ecd-8d31-48e0afa97d02,F0001-D,0
2ef01017-1d3a-4e5f-852e-a24971226f4c,F0001-D,0
35cbe06f-6619-4602-8b64-c1fab4268cce,F0001-D,0
3aa0d079-a8f3-4422-b9c4-adabe7afd4ad,F0001-D,0
3acaf81b-e340-43ff-acf9-31d663c04c65,F0001-D,0
5154319e-fde5-4d4a-b509-cbd3c34a770b,F0001-D,0
53019c2f-7276-40f0-95af-3f262fd00846,F0001-D,0
6089e224-0f76-436e-ad94-674d3a597200,F0001-D,0
676afc39-99ea-4890-999f-222795744a5c,F0001-D,0
694a821c-0ad0-41ca-a1a1-7e70357daf43,F0001-D,0
7098e20c-1133-481f-9591-781d1ce9f635,F0001-D,0
75ee4139-d9f8-41e6-93ca-be9783d1b137,F0001-D,0
79f8c99c-d0ef-4186-af34-f7062ecc2c2f,F0001-D,0
7ea35938-8e60-409a-99f6-f01adb28f98a,F0001-D,0
7eb361d8-fae5-468a-9abf-6adc186681c2,F0001-D,0
7efd92c9-a1da-46f8-aa0b-958e93eb9036,F0001-D,0
7f177ba0-889d-43f2-b853-75cdff13c8ae,F0001-D,0
80b29318-5bff-46cb-8cdb-b767fbc2f88f,F0001-D,0
8ab3bd44-948f-45d0-a5e3-44bdd966d109,F0001-D,0
8ee96a45-4a85-43a5-9c5c-e39327738868,F0001-D,0
94f68097-68f5-4bcd-ae8b-388bbbf2d036,F0001-D,0
97215444-652a-4cb0-a3ad-1980313d0b74,F0001-D,0
990e32b1-cbcc-42c0-98a9-2d03fc5ecb94,F0001-D,0
99b37ddd-d9e2-47cb-8e7c-3a3e44ef64c4,F0001-D,0
9b41454f-2d96-41af-bb04-5affb218b041,F0001-D,0
a4ea62a9-67ad-478e-b63e-15eed3bec164,F0001-D,0
a5b183c2-31f8-4d90-be0c-0f0cfa1daf8c,F0001-D,0
aef341a4-5b2f-4d20-8b1e-b9e1ae563fbc,F0001-D,0
bacb69ec-1ecd-42b0-b307-2f8e013101e0,F0001-D,0
c62cdbb2-08e5-4687-ad33-1c77bc50ed3a,F0001-D,0
caa4a240-ad02-4276-9d15-1159fc72e28d,F0001-D,0
cb2d1524-95a1-4ae6-89c9-925d4144cfe9,F0001-D,0
cc719557-1c6b-4a3e-b12e-2ebeb342b427,F0001-D,0
cdadf477-4525-4ff0-abd0-c7ff2a313a72,F0001-D,0
ce2ccde6-5683-441b-8668-35e34775ba21,F0001-D,0
d1d7d187-1b8c-4722-a6be-06f92708955c,F0001-D,0
d784bfd6-09de-4e53-8f24-1a6465fdaf76,F0001-D,0
dbba60c6-d880-4cb1-828d-e3061e594f06,F0001-D,0
e9417585-9f6e-4a0a-9080-55ddf1d467db,F0001-D,0
f40211e0-ee99-4765-a2a5-82e8ea0c764e,F0001-D,0
f83f2d0b-5694-4525-a2a0-60793a3e4fd9,F0001-D,0
fa266c1d-720e-437f-80de-517dbdcb245f,F0001-D,0
0047df01-5296-447b-b4a6-8606b50b2ec8,F0001-GM,1
07152c51-80c9-4bce-9a01-1d6029cd4be9,F0001-GM,1
07cb4273-3de2-4552-809f-4ad5660d53cd,F0001-GM,1
09833a8b-883b-4fd1-b007-31ed083ae555,F0001-GM,1
0cc18d85-7480-4725-aecb-5f299d0601ca,F0001-GM,1
13a9361b-9a08-4c02-8ccd-d6709a004cac,F0001-GM,1
1c6dc18e-4b06-44bd-9611-49edaf0afb9a,F0001-GM,1
1ff9ceb2-40b7-4b11-ba78-a2e5916630dd,F0001-GM,1
